datetime,wind_mw,solar_mw,gas_mw,coal_mw,nuclear_mw,fuel_total_mw
2025-01-21 01:00:00,19141.898495,0.003289,32015.903089,11351.3523,5111.8420750000005,67620.99924800001
2025-01-21 02:00:00,17918.899852,0.000874,33510.057785,11571.803709,5110.226640999999,68110.98886099999
2025-01-21 03:00:00,16248.73001,0.0008810000000000001,35148.359854,11579.445902,5110.433682,68086.970329
2025-01-21 04:00:00,14398.61456,0.007739,37630.370591,11463.029421000001,5110.586534,68602.608845
2025-01-21 05:00:00,12870.381986999999,0.001724,40492.553522,11445.393478,5110.715442999999,69919.046154
2025-01-21 06:00:00,12124.017295000001,0.003614,42688.665106,11618.737617,5110.309679,71541.733311
2025-01-21 07:00:00,10027.837328000001,131.343636,43972.791919999996,11607.589233,5110.050411,70849.612528
2025-01-21 08:00:00,7985.752427,4427.74074,43210.382249,11576.596795000001,5110.111161000001,72310.583372
2025-01-21 09:00:00,6004.097068,12696.407066,38787.657124000005,11554.168904,5109.964876,74152.29503800001
2025-01-21 10:00:00,5932.961339,15717.674557,34933.94514,11330.633888,5109.438379,73024.653303
2025-01-21 11:00:00,6584.0713989999995,16703.902567,32005.832512,11386.438375,5108.668825,71788.913678
2025-01-21 12:00:00,7805.656303,17500.447168000002,28495.501766,11126.111746,5109.52931,70037.246293
2025-01-21 13:00:00,9125.852991000002,18655.896348000002,24894.640163000004,9774.731386,5109.40825,67560.52913800001
2025-01-21 14:00:00,9490.072658000001,20053.275057,23620.88429,6821.240955,5109.581774,65095.054734
2025-01-21 15:00:00,9819.147653,18813.152968,23630.058292,5492.900199,5109.959269,62865.218381
2025-01-21 16:00:00,10732.719675,15691.351787,24829.470111,5599.655848,5111.791319,61964.98874
2025-01-21 17:00:00,12068.279686999998,4027.8593510000005,33761.401933999994,9048.323654,5112.431417,64018.296042999995
2025-01-21 18:00:00,12997.462409,19.499813,38737.153256000005,10691.817418999999,5111.479813,67557.41271
2025-01-21 19:00:00,16045.124291,0.045086,37747.213814999996,10934.837092000002,5111.439613,69838.65989699999
2025-01-21 20:00:00,19560.300757999998,0.0009040000000000001,35759.475115,11082.904394,5110.466416,71513.147587
2025-01-21 21:00:00,22369.679455999998,0.151712,33642.360674999996,11115.221907000001,5111.84403,72239.25777999999
2025-01-21 22:00:00,23148.335102999998,0.17911300000000002,31274.810193999998,11115.671945999999,5110.94879,70649.94514599998
2025-01-21 23:00:00,17379.123564,0.0405,22671.030623,8225.380818,3833.076246,52108.65175099999
2025-01-22 00:00:00,23627.346724,0.056125999999999995,30547.270186,10112.442923999999,5111.227932,69398.34389199999
2025-01-22 01:00:00,23702.35747,0.06627,30350.196571,9953.992974,5110.626505,69117.23978999999
2025-01-22 02:00:00,23623.965627999998,0.02049,30482.263150000002,10010.322956,5110.770018,69227.342242
2025-01-22 03:00:00,23515.612698,0.066661,31000.814745,10102.663047,5111.912268,69731.069419
2025-01-22 04:00:00,23465.793259000002,0.24940400000000001,32288.897850999998,10156.628598000001,5112.195985,71023.765097
2025-01-22 05:00:00,23084.581159999998,0.122521,34694.140092,10189.298948,5112.096015,73080.238736
2025-01-22 06:00:00,22113.285682,0.256935,37510.949567,9858.846551999999,5111.2615510000005,74594.60028700001
2025-01-22 07:00:00,21218.731162,623.019744,38908.610388,9681.111193,5111.838272999999,75543.31076000001
2025-01-22 08:00:00,20009.207663,9885.188294,31629.796761999998,9087.205063,5111.323593,75722.721375
2025-01-22 09:00:00,15395.992170000001,19995.404322,24897.320498,6863.987073,5111.411061,72264.115124
2025-01-22 10:00:00,12644.879062,21299.839096,23344.778592000002,5912.333407,5112.526519999999,68314.356677
2025-01-22 11:00:00,11794.760544,20581.591201000003,22372.829404999997,5020.98942,5112.832652,64883.003222
2025-01-22 12:00:00,11027.576706000002,19369.393809,21263.335526000003,4581.951258,5111.84956,61354.10685900001
2025-01-22 13:00:00,11115.090749,16764.627081,20821.880865,4395.5118489999995,5113.36079,58210.471334
2025-01-22 14:00:00,9966.955868000001,16157.30823,19925.91507,4123.982695999999,5113.665282,55287.827146
